categorie,parametre,valeur,univers,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
seuil_ext_long,ext_atr20,-1.5,US500,20,15447,938,1.0802,1.1413,0.1884,2.74,0.85,62.1,58.25,3.85,ok
seuil_ext_long,ext_atr20,-1.5,SPX,5,410,410,0.4631,0.1496,0.3135,2.6,1.76,61.71,55.83,5.88,ok
seuil_ext_long,ext_atr20,-1.5,SPX,10,410,410,0.7529,0.299,0.4539,2.91,1.75,63.66,57.95,5.71,ok
seuil_ext_long,ext_atr20,-1.5,SPX,20,410,410,1.5289,0.6024,0.9265,3.6,2.18,72.44,60.34,12.1,ok
seuil_ext_long,ext_atr20,-1.5,BTC,5,102,102,1.7932,1.2904,0.5028,1.11,0.31,59.8,54.84,4.96,ok
seuil_ext_long,ext_atr20,-1.5,BTC,10,102,102,2.9892,2.6533,0.3359,1.49,0.17,53.92,55.45,-1.53,ok
seuil_ext_long,ext_atr20,-1.5,BTC,20,102,102,3.6824,5.6943,-2.0119,1.45,-0.79,53.92,56.23,-2.31,ok
seuil_ext_long,ext_atr20,-2.0,US500,5,6306,808,0.1888,0.2755,-0.0551,1.35,-0.6,57.69,54.74,2.95,ok
seuil_ext_long,ext_atr20,-2.0,US500,10,6278,804,0.4574,0.5687,-0.0411,1.92,-0.26,61.48,56.07,5.41,ok
seuil_ext_long,ext_atr20,-2.0,US500,20,6247,795,1.0888,1.1413,0.1591,2.72,0.58,63.12,58.25,4.87,ok
seuil_ext_long,ext_atr20,-2.0,SPX,5,179,179,0.6729,0.1496,0.5233,2.19,1.71,64.8,55.83,8.97,ok
seuil_ext_long,ext_atr20,-2.0,SPX,10,179,179,0.7332,0.299,0.4341,1.81,1.07,65.92,57.95,7.97,ok
seuil_ext_long,ext_atr20,-2.0,SPX,20,179,179,1.9155,0.6024,1.3132,4.06,2.79,77.09,60.34,16.76,ok
seuil_ext_long,ext_atr20,-2.5,US500,5,2195,555,0.2464,0.2755,-0.0445,1.51,-0.39,58.54,54.74,3.8,ok
seuil_ext_long,ext_atr20,-2.5,US500,10,2185,552,0.4987,0.5687,-0.0527,1.84,-0.27,62.06,56.07,5.99,ok
seuil_ext_long,ext_atr20,-2.5,US500,20,2176,546,0.8927,1.1413,-0.1334,2.16,-0.38,64.2,58.25,5.95,ok
seuil_ext_short,ext_atr20,0.5,US500,5,36679,1052,0.0493,0.2755,-0.174,0.45,-2.64,53.19,54.74,-1.55,ok
seuil_ext_short,ext_atr20,0.5,US500,10,36602,1047,0.2011,0.5687,-0.2711,0.93,-2.05,55.1,56.07,-0.97,ok
seuil_ext_short,ext_atr20,0.5,US500,20,36323,1037,0.502,1.1413,-0.4627,1.23,-1.97,55.86,58.25,-2.39,ok
seuil_ext_short,ext_atr20,0.5,SPX,5,937,937,0.0251,0.1496,-0.1244,0.22,-1.09,54.32,55.83,-1.51,ok
seuil_ext_short,ext_atr20,0.5,SPX,10,937,937,0.101,0.299,-0.1981,0.47,-0.93,54.22,57.95,-3.73,ok
seuil_ext_short,ext_atr20,0.5,SPX,20,934,934,0.2706,0.6024,-0.3318,0.65,-0.8,57.39,60.34,-2.95,ok
seuil_ext_short,ext_atr20,0.5,BTC,5,417,417,0.3136,1.2904,-0.9768,0.5,-1.55,48.2,54.84,-6.64,ok
seuil_ext_short,ext_atr20,0.5,BTC,10,417,417,0.8833,2.6533,-1.77,0.78,-1.56,53.96,55.45,-1.5,ok
seuil_ext_short,ext_atr20,0.5,BTC,20,417,417,1.323,5.6943,-4.3713,0.57,-1.89,49.64,56.23,-6.59,ok
seuil_ext_short,ext_atr20,0.75,US500,5,27393,1045,0.0555,0.2755,-0.1635,0.49,-2.27,53.07,54.74,-1.67,ok
seuil_ext_short,ext_atr20,0.75,US500,10,27335,1040,0.1698,0.5687,-0.2973,0.78,-2.17,55.04,56.07,-1.03,ok
seuil_ext_short,ext_atr20,0.75,US500,20,27108,1030,0.411,1.1413,-0.5383,1.01,-2.24,55.45,58.25,-2.8,ok
seuil_ext_short,ext_atr20,0.75,SPX,5,710,710,0.0279,0.1496,-0.1216,0.23,-1.02,53.8,55.83,-2.03,ok
seuil_ext_short,ext_atr20,0.75,SPX,10,710,710,0.1659,0.299,-0.1331,0.72,-0.58,55.35,57.95,-2.6,ok
seuil_ext_short,ext_atr20,0.75,SPX,20,709,709,0.3809,0.6024,-0.2215,0.89,-0.52,59.1,60.34,-1.24,ok
seuil_ext_short,ext_atr20,0.75,BTC,5,319,319,0.5556,1.2904,-0.7348,0.75,-0.99,50.16,54.84,-4.68,ok
seuil_ext_short,ext_atr20,0.75,BTC,10,319,319,0.9259,2.6533,-1.7274,0.69,-1.29,53.92,55.45,-1.53,ok
seuil_ext_short,ext_atr20,0.75,BTC,20,319,319,0.6592,5.6943,-5.0351,0.25,-1.88,46.39,56.23,-9.83,ok
seuil_ext_short,ext_atr20,1.0,US500,5,19698,1034,0.0269,0.2755,-0.1915,0.23,-2.4,52.47,54.74,-2.27,ok
seuil_ext_short,ext_atr20,1.0,US500,10,19665,1029,0.1358,0.5687,-0.3199,0.59,-2.12,54.68,56.07,-1.39,ok
seuil_ext_short,ext_atr20,1.0,US500,20,19489,1019,0.3478,1.1413,-0.5805,0.84,-2.4,54.81,58.25,-3.44,ok
seuil_ext_short,ext_atr20,1.0,SPX,5,494,494,0.0072,0.1496,-0.1424,0.05,-0.99,54.05,55.83,-1.78,ok
seuil_ext_short,ext_atr20,1.0,SPX,10,494,494,0.2393,0.299,-0.0597,0.92,-0.23,56.68,57.95,-1.27,ok
seuil_ext_short,ext_atr20,1.0,SPX,20,494,494,0.382,0.6024,-0.2204,0.86,-0.49,58.3,60.34,-2.04,ok
seuil_ext_short,ext_atr20,1.0,BTC,5,243,243,0.5582,1.2904,-0.7322,0.64,-0.83,47.33,54.84,-7.52,ok
seuil_ext_short,ext_atr20,1.0,BTC,10,243,243,1.0016,2.6533,-1.6517,0.67,-1.11,55.56,55.45,0.1,ok
seuil_ext_short,ext_atr20,1.0,BTC,20,243,243,0.4163,5.6943,-5.278,0.15,-1.9,44.44,56.23,-11.78,ok
seuil_ext_short,ext_atr20,1.25,US500,5,13598,1004,0.0997,0.2755,-0.1097,0.79,-1.21,52.46,54.74,-2.28,ok
seuil_ext_short,ext_atr20,1.25,US500,10,13571,999,0.1654,0.5687,-0.2804,0.71,-1.81,54.64,56.07,-1.43,ok
