trend_len,seuil,stop_atr,trail_atr,max_bars,IS_n,IS_esp,IS_wr,OOS_n,OOS_esp,OOS_wr,tot_n,tot_esp,tot_t
150,2.0,1.5,3.0,40,214,0.7236,34.6,196,0.6599,37.2,410,0.6931,3.54
150,2.0,2.0,1.5,20,332,0.1189,38.0,317,0.1587,38.5,649,0.1383,2.96
150,2.0,2.0,1.5,40,332,0.1189,38.0,316,0.1625,38.6,648,0.1402,3.0
150,2.0,2.0,2.0,20,262,0.2318,42.4,252,0.2647,39.7,514,0.2479,3.97
150,2.0,2.0,2.0,40,261,0.2396,42.5,245,0.276,40.0,506,0.2572,4.09
150,2.0,2.0,2.5,20,222,0.3939,42.3,223,0.3472,38.1,445,0.3705,3.7
150,2.0,2.0,2.5,40,219,0.4057,42.0,214,0.3279,38.3,433,0.3673,3.67
150,2.0,2.0,3.0,20,199,0.6282,46.2,202,0.4612,38.1,401,0.5441,3.88
150,2.0,2.0,3.0,40,187,0.7314,44.4,187,0.4942,39.6,374,0.6128,3.79
150,2.0,3.0,1.5,20,330,0.077,37.3,317,0.1032,38.5,647,0.0898,2.87
150,2.0,3.0,1.5,40,330,0.077,37.3,316,0.1057,38.6,646,0.0911,2.9
150,2.0,3.0,2.0,20,259,0.1598,42.5,252,0.1792,39.3,511,0.1694,4.04
150,2.0,3.0,2.0,40,258,0.1651,42.6,245,0.1868,39.6,503,0.1757,4.16
150,2.0,3.0,2.5,20,215,0.2934,45.1,217,0.2554,40.6,432,0.2743,4.01
150,2.0,3.0,2.5,40,211,0.3065,44.5,209,0.2365,39.7,420,0.2717,3.95
150,2.0,3.0,3.0,20,192,0.4697,50.0,192,0.3617,42.7,384,0.4157,4.25
150,2.0,3.0,3.0,40,176,0.5514,46.6,176,0.3921,44.3,352,0.4718,4.11
200,1.0,1.5,1.5,20,514,0.1856,41.2,599,0.0944,36.1,1113,0.1366,3.15
200,1.0,1.5,1.5,40,514,0.1856,41.2,598,0.0965,36.1,1112,0.1377,3.17
200,1.0,1.5,2.0,20,383,0.3767,42.8,459,0.165,37.5,842,0.2613,4.18
200,1.0,1.5,2.0,40,379,0.3818,43.0,446,0.1832,37.0,825,0.2745,4.29
200,1.0,1.5,2.5,20,317,0.6275,41.6,395,0.2643,33.4,712,0.426,4.25
200,1.0,1.5,2.5,40,305,0.652,40.0,373,0.2597,33.2,678,0.4362,4.19
200,1.0,1.5,3.0,20,290,0.8247,40.0,351,0.3751,34.5,641,0.5785,4.33
200,1.0,1.5,3.0,40,262,1.0205,36.6,315,0.4225,33.0,577,0.6941,4.27
200,1.0,2.0,1.5,20,507,0.1452,41.6,596,0.0668,36.4,1103,0.1029,3.13
200,1.0,2.0,1.5,40,507,0.1452,41.6,595,0.0684,36.5,1102,0.1037,3.15
200,1.0,2.0,2.0,20,366,0.325,44.8,446,0.1384,38.8,812,0.2225,4.54
200,1.0,2.0,2.0,40,362,0.328,45.0,432,0.1548,38.2,794,0.2337,4.64
200,1.0,2.0,2.5,20,298,0.5208,45.0,375,0.2044,36.8,673,0.3445,4.31
200,1.0,2.0,2.5,40,285,0.5464,43.9,350,0.2094,36.0,635,0.3606,4.31
200,1.0,2.0,3.0,20,269,0.6847,45.0,332,0.2763,37.7,601,0.4591,4.57
200,1.0,2.0,3.0,40,237,0.9009,40.9,297,0.3017,35.4,534,0.5677,4.17
200,1.0,3.0,1.5,20,506,0.1021,41.7,593,0.047,36.8,1099,0.0724,3.3
200,1.0,3.0,1.5,40,506,0.1021,41.7,592,0.0481,36.8,1098,0.073,3.32
200,1.0,3.0,2.0,20,364,0.222,45.3,443,0.0957,38.6,807,0.1526,4.65
200,1.0,3.0,2.0,40,360,0.2231,45.6,430,0.106,38.1,790,0.1594,4.72
200,1.0,3.0,2.5,20,292,0.3671,45.9,362,0.1557,37.8,654,0.2501,4.57
200,1.0,3.0,2.5,40,279,0.3796,44.1,337,0.1604,37.4,616,0.2597,4.52
200,1.0,3.0,3.0,20,257,0.4948,47.1,316,0.1986,39.2,573,0.3314,4.69
200,1.0,3.0,3.0,40,225,0.6407,42.7,279,0.227,37.3,504,0.4117,4.28
200,1.5,1.5,1.5,20,403,0.1993,42.4,450,0.1219,36.0,853,0.1585,3.06
200,1.5,1.5,1.5,40,403,0.1993,42.4,449,0.1253,36.1,852,0.1603,3.09
200,1.5,1.5,2.0,20,314,0.3526,41.7,359,0.2102,35.9,673,0.2766,3.91
200,1.5,1.5,2.0,40,311,0.3679,42.1,349,0.2294,36.1,660,0.2947,4.07
200,1.5,1.5,2.5,20,269,0.5581,39.0,314,0.2974,33.4,583,0.4177,3.84
200,1.5,1.5,2.5,40,263,0.5755,38.8,298,0.3059,34.2,561,0.4323,3.91
200,1.5,1.5,3.0,20,246,0.7758,38.2,274,0.4702,34.7,520,0.6147,4.1
200,1.5,1.5,3.0,40,228,0.9455,36.8,247,0.565,35.2,475,0.7476,4.2
200,1.5,2.0,1.5,20,397,0.1564,43.1,447,0.0905,36.5,844,0.1215,3.08
200,1.5,2.0,1.5,40,397,0.1564,43.1,446,0.093,36.5,843,0.1229,3.11
200,1.5,2.0,2.0,20,299,0.3139,44.5,350,0.1688,37.4,649,0.2356,4.25
200,1.5,2.0,2.0,40,295,0.3276,45.1,339,0.184,37.5,634,0.2509,4.42
200,1.5,2.0,2.5,20,250,0.4927,44.0,300,0.2417,37.0,550,0.3558,4.09
200,1.5,2.0,2.5,40,242,0.5147,43.8,283,0.2413,36.7,525,0.3673,4.12
200,1.5,2.0,3.0,20,224,0.705,44.6,262,0.348,38.2,486,0.5125,4.23
200,1.5,2.0,3.0,40,202,0.8792,43.6,235,0.4069,37.9,437,0.6252,4.29
200,1.5,3.0,1.5,20,395,0.1086,43.0,445,0.0608,36.6,840,0.0833,3.18
200,1.5,3.0,1.5,40,395,0.1086,43.0,444,0.0625,36.7,839,0.0842,3.21
200,1.5,3.0,2.0,20,295,0.2247,45.4,348,0.1138,37.6,643,0.1646,4.43
200,1.5,3.0,2.0,40,291,0.2341,46.0,337,0.1242,37.7,628,0.1751,4.61
200,1.5,3.0,2.5,20,242,0.3662,45.9,290,0.188,38.6,532,0.269,4.5
200,1.5,3.0,2.5,40,233,0.3839,45.5,272,0.1898,38.2,505,0.2793,4.52
200,1.5,3.0,3.0,20,210,0.5227,49.0,244,0.2963,42.6,454,0.4011,5.18
200,1.5,3.0,3.0,40,186,0.6925,47.3,219,0.3174,40.6,405,0.4897,4.61
200,2.0,1.5,1.5,20,310,0.1898,40.3,305,0.2071,38.7,615,0.1984,3.09
200,2.0,1.5,1.5,40,310,0.1898,40.3,304,0.2124,38.8,614,0.201,3.12
200,2.0,1.5,2.0,20,253,0.3019,39.5,247,0.317,38.9,500,0.3093,3.7
200,2.0,1.5,2.0,40,252,0.3127,39.7,240,0.3391,39.2,492,0.3256,3.87
200,2.0,1.5,2.5,20,219,0.5002,35.6,223,0.4153,36.3,442,0.4573,3.5
200,2.0,1.5,2.5,40,218,0.5008,35.8,214,0.4121,36.4,432,0.4569,3.52
200,2.0,1.5,3.0,20,201,0.7108,38.3,202,0.5798,36.6,403,0.6451,3.58
200,2.0,1.5,3.0,40,194,0.8186,36.1,188,0.656,37.2,382,0.7385,3.56
200,2.0,2.0,1.5,20,305,0.1567,40.7,301,0.1577,39.2,606,0.1572,3.2
200,2.0,2.0,1.5,40,305,0.1567,40.7,300,0.1617,39.3,605,0.1592,3.23
200,2.0,2.0,2.0,20,239,0.2996,44.4,241,0.2547,40.2,480,0.2771,4.23
200,2.0,2.0,2.0,40,238,0.3086,44.5,234,0.2662,40.6,472,0.2875,4.36
200,2.0,2.0,2.5,20,200,0.4907,43.5,215,0.3201,38.6,415,0.4023,3.84
200,2.0,2.0,2.5,40,198,0.4997,43.9,206,0.3103,38.8,404,0.4031,3.86
200,2.0,2.0,3.0,20,178,0.7198,47.2,193,0.4506,39.4,371,0.5798,3.93
200,2.0,2.0,3.0,40,171,0.8094,45.6,178,0.5048,40.4,349,0.6541,3.83
200,2.0,3.0,1.5,20,302,0.1064,40.1,301,0.1016,39.2,603,0.104,3.15
200,2.0,3.0,1.5,40,302,0.1064,40.1,300,0.1043,39.3,602,0.1053,3.19
200,2.0,3.0,2.0,20,235,0.2136,45.1,241,0.1721,39.8,476,0.1926,4.38
200,2.0,3.0,2.0,40,234,0.2197,45.3,234,0.1798,40.2,468,0.1997,4.51
200,2.0,3.0,2.5,20,193,0.3666,46.1,208,0.2432,41.3,401,0.3026,4.22
200,2.0,3.0,2.5,40,190,0.3787,46.3,200,0.2308,40.5,390,0.3029,4.21
200,2.0,3.0,3.0,20,170,0.5613,51.8,183,0.3546,43.7,353,0.4541,4.41
200,2.0,3.0,3.0,40,160,0.627,48.8,167,0.404,45.5,327,0.5131,4.23
250,1.0,1.5,1.5,20,490,0.1741,41.2,595,0.0785,36.1,1085,0.1217,2.83
250,1.0,1.5,1.5,40,490,0.1741,41.2,594,0.0806,36.2,1084,0.1228,2.85
250,1.0,1.5,2.0,20,367,0.3502,42.2,459,0.1363,36.6,826,0.2313,3.74
250,1.0,1.5,2.0,40,365,0.3517,42.2,446,0.1539,36.1,811,0.2429,3.82
250,1.0,1.5,2.5,20,303,0.6016,41.6,392,0.2392,32.7,695,0.3972,3.93
250,1.0,1.5,2.5,40,293,0.6226,39.9,373,0.2248,32.4,666,0.3998,3.82
250,1.0,1.5,3.0,20,273,0.8303,41.0,348,0.3535,34.5,621,0.5631,4.14
250,1.0,1.5,3.0,40,247,1.028,38.1,315,0.3779,32.4,562,0.6636,4.03
250,1.0,2.0,1.5,20,483,0.138,41.6,594,0.0524,36.2,1077,0.0908,2.79
250,1.0,2.0,1.5,40,483,0.138,41.6,593,0.0539,36.3,1076,0.0916,2.81
250,1.0,2.0,2.0,20,352,0.2979,44.0,447,0.1148,37.8,799,0.1955,4.02
250,1.0,2.0,2.0,40,349,0.2997,44.1,433,0.1304,37.2,782,0.206,4.12
250,1.0,2.0,2.5,20,286,0.4908,44.4,372,0.1877,36.0,658,0.3194,3.96
250,1.0,2.0,2.5,40,275,0.5114,43.3,350,0.1806,34.9,625,0.3261,3.88
250,1.0,2.0,3.0,20,253,0.6974,46.2,331,0.2537,38.1,584,0.446,4.38
250,1.0,2.0,3.0,40,224,0.9028,42.4,297,0.2684,34.3,521,0.5411,3.93
250,1.0,3.0,1.5,20,482,0.0971,41.7,591,0.036,36.5,1073,0.0634,2.92
250,1.0,3.0,1.5,40,482,0.0971,41.7,590,0.037,36.6,1072,0.064,2.94
250,1.0,3.0,2.0,20,350,0.2035,44.6,445,0.0765,37.5,795,0.1324,4.07
250,1.0,3.0,2.0,40,347,0.2038,44.7,432,0.0863,37.0,779,0.1386,4.14
250,1.0,3.0,2.5,20,279,0.3503,45.9,361,0.1397,36.8,640,0.2315,4.19
250,1.0,3.0,2.5,40,268,0.3601,44.0,339,0.1354,36.0,607,0.2346,4.06
250,1.0,3.0,3.0,20,239,0.5228,49.0,315,0.1857,40.0,554,0.3312,4.61
250,1.0,3.0,3.0,40,211,0.6542,44.5,280,0.1995,36.4,491,0.3949,4.05
250,1.5,1.5,1.5,20,383,0.1795,41.3,442,0.107,36.0,825,0.1407,2.74
250,1.5,1.5,1.5,40,383,0.1795,41.3,441,0.1104,36.1,824,0.1425,2.77
250,1.5,1.5,2.0,20,298,0.3328,40.9,354,0.1794,34.5,652,0.2495,3.52
250,1.5,1.5,2.0,40,296,0.3436,41.2,344,0.1979,34.6,640,0.2653,3.66
250,1.5,1.5,2.5,20,256,0.5391,39.5,309,0.262,32.4,565,0.3876,3.52
250,1.5,1.5,2.5,40,251,0.5496,39.0,294,0.2641,33.0,545,0.3956,3.53
250,1.5,1.5,3.0,20,232,0.7884,39.7,272,0.4112,33.8,504,0.5849,3.83
250,1.5,1.5,3.0,40,213,0.949,38.0,246,0.4861,33.7,459,0.7009,3.87
250,1.5,2.0,1.5,20,377,0.1433,41.9,440,0.0768,36.1,817,0.1075,2.75
250,1.5,2.0,1.5,40,377,0.1433,41.9,439,0.0794,36.2,816,0.1089,2.78
250,1.5,2.0,2.0,20,285,0.2853,43.5,345,0.1526,36.5,630,0.2126,3.84
250,1.5,2.0,2.0,40,283,0.2939,43.8,334,0.1675,36.5,617,0.2255,3.98
250,1.5,2.0,2.5,20,238,0.4644,44.1,294,0.2259,35.7,532,0.3326,3.76
250,1.5,2.0,2.5,40,233,0.473,43.3,277,0.224,35.7,510,0.3378,3.74
250,1.5,2.0,3.0,20,211,0.7056,45.5,257,0.3271,38.5,468,0.4978,4.01
250,1.5,2.0,3.0,40,192,0.849,43.8,230,0.3785,37.4,422,0.5926,3.99
250,1.5,3.0,1.5,20,375,0.0995,41.9,438,0.0498,36.3,813,0.0728,2.8
250,1.5,3.0,1.5,40,375,0.0995,41.9,437,0.0515,36.4,812,0.0737,2.83
250,1.5,3.0,2.0,20,281,0.2054,44.5,344,0.0986,36.6,625,0.1466,3.95
250,1.5,3.0,2.0,40,279,0.2114,44.8,333,0.1087,36.6,612,0.1555,4.1
250,1.5,3.0,2.5,20,229,0.3531,46.3,287,0.1686,36.9,516,0.2505,4.14
250,1.5,3.0,2.5,40,223,0.3602,45.3,269,0.1688,36.8,492,0.2555,4.1
250,1.5,3.0,3.0,20,197,0.5299,50.3,242,0.2723,42.6,439,0.3879,4.93
