symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,atr_pct_entree,segment,config
SPX,short,1975-01-02,1975-01-03,1975-01-17,10,70.23,75.88745865037937,70.96,-0.15398963630808885,-0.012417229988068233,temps,0.02685205111955655,1975-1979,temps_10_barres|stop3.0|conf0
SPX,short,1975-01-24,1975-01-27,1975-02-06,8,73.76,79.60818280726394,79.60818280726394,-1.0262249296681971,-0.0814473772860604,stop,0.026428881088502998,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1975-04-07,1975-04-08,1975-04-22,10,80.35,74.45731266399142,87.09,1.115375655490309,0.08171741140005,temps,0.02444591303052718,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1975-07-22,1975-07-23,1975-08-05,9,91.45,85.9804036462818,85.9804036462818,-1.032439396286648,-0.06168819433562033,stop,0.0199365640740594,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1975-08-06,1975-08-07,1975-08-21,10,86.25,80.77528573098044,83.07,-0.6117798729612643,-0.03879390175042356,temps,0.021158316015534504,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1975-08-22,1975-08-25,1975-09-09,10,84.28,79.01791021352813,84.6,0.0287186281747824,0.0017912794372216053,temps,0.020811935557949208,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1975-09-10,1975-09-11,1975-09-25,10,83.79,78.55674748832803,85.64,0.3211329849365659,0.02003689114322845,temps,0.020818922352197882,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1976-05-24,1976-05-25,1976-06-09,10,99.44,94.66280661080414,98.74,-0.1880141595337815,-0.009023357977501145,temps,0.016013654428787386,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1976-08-20,1976-08-23,1976-09-07,10,102.37,98.22323317941171,105.03,0.5914487373206233,0.023934256619613695,temps,0.013502545734714908,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1976-10-05,1976-10-06,1976-10-20,10,103.23,98.60707955109757,101.74,-0.36664485550522824,-0.016402951886822836,temps,0.014927574183546241,1975-1979,temps_10_barres|stop3.0|conf0
SPX,short,1977-06-14,1977-06-15,1977-06-29,10,99.86,103.83028336076943,100.11,-0.11333447996336224,-0.0045105189307071275,temps,0.01325283183379874,1975-1979,temps_10_barres|stop3.0|conf0
SPX,short,1977-11-10,1977-11-11,1977-11-28,10,95.1,99.26686262680855,96.04,-0.27146083307919255,-0.011906122736827281,temps,0.014605196729087111,1975-1979,temps_10_barres|stop3.0|conf0
SPX,short,1978-03-17,1978-03-20,1978-04-04,10,90.2,93.85011708320692,88.86,0.31805555096880106,0.01288361532263983,temps,0.013488976656344853,1975-1979,temps_10_barres|stop3.0|conf0
SPX,short,1978-04-13,1978-04-14,1978-04-17,1,91.4,94.91382572790984,94.91382572790984,-1.053023069484644,-0.04052345073342188,stop,0.012814827599962917,1975-1979,temps_10_barres|stop3.0|conf0
SPX,short,1978-04-18,1978-04-19,1978-04-25,4,93.43,97.6612700890007,97.6612700890007,-1.0451616810247442,-0.047380800034645336,stop,0.015096043701169112,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1978-06-20,1978-06-21,1978-07-06,10,96.51,91.74236029797285,94.32,-0.4993728865433555,-0.024644612459346717,temps,0.016466824515687997,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1978-09-19,1978-09-20,1978-10-04,10,102.53,97.41500449854416,103.06,0.06342332068672993,0.003160888657816528,temps,0.01662926461021437,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1978-10-17,1978-10-18,1978-10-26,6,101.26,96.21394949600746,96.21394949600746,-1.0391343585126112,-0.051731050437697136,stop,0.01661087136741244,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1979-10-09,1979-10-10,1979-10-22,8,106.23,100.36902107768155,100.36902107768155,-1.0352499170899492,-0.05706030713517037,stop,0.018390846660762652,1975-1979,temps_10_barres|stop3.0|conf0
SPX,long,1980-03-06,1980-03-07,1980-03-24,11,108.65,100.45879776821603,100.45879776821603,-1.0255284623491285,-0.07723809581630676,stop,0.025130241545586657,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1980-09-29,1980-09-30,1980-10-28,20,123.54,115.15466955433129,128.05,0.5078404515590217,0.034435452842446625,temps,0.02262514285701989,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1980-10-30,1980-10-31,1980-12-02,20,126.29,117.73451159496787,136.97,1.2175505952264676,0.0824002982527016,temps,0.022581593699770728,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1980-12-08,1980-12-09,1981-01-08,20,130.61,120.64676545983218,133.06,0.21943978044334678,0.016722654116421806,temps,0.025427441850210102,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1981-01-22,1981-01-23,1981-02-23,20,130.26,120.9581130970591,127.35,-0.34053413388616044,-0.024293302275798796,temps,0.023803385288246326,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1981-05-04,1981-05-05,1981-06-03,20,130.67,122.26453690524271,130.71,-0.026337632740072888,-0.0016924989757311929,temps,0.021441960905990362,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1981-10-08,1981-10-09,1981-11-06,20,122.31,131.09342762275614,122.67,-0.06887743896615019,-0.004951235267644257,temps,0.02393761105048954,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1981-11-27,1981-11-30,1981-12-29,20,125.09,132.5071668514421,121.67,0.42782373156174325,0.0253930483365292,temps,0.01976488088960507,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1982-01-29,1982-02-01,1982-03-02,20,119.81,127.1243090434496,112.68,0.9430159375309887,0.05762803116947188,temps,0.020349745551149323,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1982-04-02,1982-04-05,1982-05-04,20,115.12,122.36593938926649,117.46,-0.35503747158177845,-0.022369311632688873,temps,0.020980829827618938,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1982-05-06,1982-05-07,1982-06-07,20,119.08,123.63322460163222,109.97355079673555,1.9496942121601886,0.07462447039303097,target,0.012745562091681295,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1982-07-16,1982-07-19,1982-08-05,13,111.75,115.12483536472868,105.00032927054264,1.9357745472458179,0.058518656465743946,target,0.01006662301186779,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1982-08-17,1982-08-18,1982-08-23,3,109.04,113.56196871455585,113.56196871455585,-1.0492267821309789,-0.04355575938438789,stop,0.013823577630703845,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1982-11-22,1982-11-23,1982-12-22,20,134.21,126.86243411073927,138.83,0.5916190566393625,0.03235688385826226,temps,0.018248928021411072,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1983-01-24,1983-01-25,1983-02-23,20,139.98,133.5569092053633,146.79,1.0155905012968112,0.0465546027054815,temps,0.015295258357471794,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1983-06-08,1983-06-09,1983-06-22,9,161.37,156.58253077666728,170.94493844666545,1.930586511798961,0.05721875266840614,target,0.009889217787967041,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1983-07-15,1983-07-18,1983-08-08,15,164.28,159.32443206998207,159.32443206998207,-1.0653011797315428,-0.03210310727796616,stop,0.010055125253668428,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1983-08-09,1983-08-10,1983-09-08,20,160.11,154.2240741936991,167.77,1.245703775632196,0.04574851792389755,temps,0.012253920859202863,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1983-10-19,1983-10-20,1983-11-08,13,166.77,161.79333374251775,161.79333374251775,-1.0660207690737769,-0.0317798744472219,stop,0.009947165272495565,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1984-03-16,1984-03-19,1984-04-16,20,159.27,164.7169676952458,158.32,0.11610313028880767,0.003974653375042964,temps,0.011399861231966296,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1984-04-17,1984-04-18,1984-05-17,20,158.97,163.91814769560577,156.57,0.42126066726971867,0.01312541074760366,temps,0.01037543288168788,1980-1984,objectif_2R|stop3.0|conf0
SPX,short,1984-08-01,1984-08-02,1984-08-03,1,154.08,158.7991896145169,160.28,-1.3803980200246382,-0.04232139720197841,gap_stop,0.010209392554770016,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1984-10-02,1984-10-03,1984-10-31,20,163.59,158.81155750178783,166.09,0.45418983294494925,0.013253572028558473,temps,0.009736623058076453,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1984-11-16,1984-11-19,1984-12-18,20,164.1,159.6831262291435,168.11,0.8326681247417332,0.022389493504667277,temps,0.00897191503322461,1980-1984,objectif_2R|stop3.0|conf0
SPX,long,1985-01-04,1985-01-07,1985-01-21,10,163.68,159.31536930692423,172.40926138615157,1.922997090700181,0.051226706606964906,target,0.008888544096358293,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1985-03-13,1985-03-14,1985-04-12,20,178.19,173.5682255608613,180.54,0.4308453444065305,0.01116381794309857,temps,0.00864577967177113,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1985-05-01,1985-05-02,1985-05-17,11,178.37,174.36233479374437,186.38533041251128,1.9089855784751832,0.04284875343358656,target,0.0074894231209576174,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1985-06-13,1985-06-14,1985-07-15,20,185.33,180.98283944755235,192.72,1.6129954059442129,0.03779714592858706,temps,0.00781877471258054,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1985-07-29,1985-07-30,1985-08-27,20,189.62,185.1674352671099,188.1,-0.42620828979351183,-0.00999801801405004,temps,0.00782717141808196,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1985-09-10,1985-09-11,1985-09-13,2,186.9,183.44850337388203,183.44850337388203,-1.1073008446745627,-0.02042818139320195,stop,0.006155692217082182,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1985-09-16,1985-09-17,1985-10-16,20,182.88,179.1097312281717,187.98,1.2543243694816852,0.025833418549953992,temps,0.0068720267786313285,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1986-01-22,1986-01-23,1986-02-10,12,203.49,197.17409050840095,216.12181898319812,1.9335627244910143,0.05995384125538293,target,0.010345978494600975,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1986-04-04,1986-04-07,1986-05-05,20,228.69,220.12074994111848,237.73,1.00050528822111,0.03745251206880496,temps,0.012490343636773987,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1986-05-15,1986-05-16,1986-06-16,20,234.43,226.7130103740118,246.13,1.4538622628462177,0.04781056933085266,temps,0.010972699207991305,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1986-07-07,1986-07-08,1986-07-15,5,244.05,235.718181719776,235.718181719776,-1.0575826506992514,-0.03606959097834675,stop,0.011379933456564946,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1986-07-16,1986-07-17,1986-08-14,20,235.01,226.00186781849555,246.25,1.194336382195853,0.04573419006847392,temps,0.012776948756087612,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1986-09-11,1986-09-12,1986-10-10,20,235.18,224.7370698231457,235.48,-0.016342156570025586,-0.0007249320116060402,temps,0.014801329728795408,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1986-12-29,1986-12-30,1987-01-12,8,244.66,237.361339653689,259.257320692622,1.9309575597736501,0.05754648920085642,target,0.0099439498982411,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1987-04-13,1987-04-14,1987-05-13,20,285.61,272.6100811050625,293.98,0.5992660464238609,0.027249141740931473,temps,0.0151721098641942,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1987-05-19,1987-05-20,1987-06-18,20,279.62,264.62043090656863,305.69,1.6990281414924298,0.09104939120674763,temps,0.01788089680451011,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1987-09-01,1987-09-02,1987-09-08,3,323.4,311.3156265500915,311.3156265500915,-1.0525236686189041,-0.03928998977663816,stop,0.012455548804275872,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1987-09-09,1987-09-10,1987-10-08,20,313.92,300.169860955746,314.16,-0.02822371459306213,-0.0012350035285813366,temps,0.014600470442845305,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1987-10-09,1987-10-12,1987-10-16,4,311.07,297.3077586313577,297.3077586313577,-1.044206299129263,-0.04615122919088705,stop,0.014747207347373363,1985-1989,objectif_2R|stop3.0|conf0
SPX,short,1987-12-16,1987-12-17,1988-01-18,20,248.08,266.7465872008303,251.88,-0.23035598064806861,-0.01735030741802727,temps,0.025081408149024847,1985-1989,objectif_2R|stop3.0|conf0
SPX,short,1988-01-29,1988-02-01,1988-03-01,20,257.05,272.90626223273983,267.22,-0.6744508789668323,-0.04164549688766751,temps,0.02056183911397241,1985-1989,objectif_2R|stop3.0|conf0
SPX,short,1988-03-02,1988-03-03,1988-03-31,20,267.98,279.4595658319248,258.89,0.7459454586850234,0.03198634861445541,temps,0.01427913256203792,1985-1989,objectif_2R|stop3.0|conf0
SPX,short,1988-04-08,1988-04-11,1988-05-09,20,269.43,279.93278180596974,256.54,1.1772147825609742,0.04593551722676176,temps,0.012993828707480929,1985-1989,objectif_2R|stop3.0|conf0
SPX,short,1988-05-31,1988-06-01,1988-06-09,6,262.16,272.1028999620501,272.1028999620501,-1.0537331062367299,-0.040004770035568474,stop,0.012642279475701972,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1988-07-21,1988-07-22,1988-08-19,20,266.65,256.9946532829849,260.24,-0.718450637072978,-0.02598897446075376,temps,0.012069937767379241,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1988-08-25,1988-08-26,1988-09-26,20,259.18,249.83410193440952,268.88,0.9813866934595662,0.03535294861786106,temps,0.012019829289284769,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1988-11-07,1988-11-08,1988-11-16,6,273.95,266.0311384271697,266.0311384271697,-1.068189238246042,-0.03084647679846138,stop,0.009635409834921583,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1988-11-22,1988-11-23,1988-12-22,20,267.22,259.04096358180516,276.87,1.1133230779781447,0.03404241144679754,temps,0.010202625075711472,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1989-02-24,1989-02-27,1989-03-28,20,287.13,278.57717517893184,291.59,0.45380094661114234,0.01350399678683036,temps,0.009929096949196222,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1989-06-29,1989-06-30,1989-07-27,18,319.67,310.35843262576844,338.29313474846316,1.929339164041354,0.056142973658226805,target,0.00970956233431514,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1989-09-14,1989-09-15,1989-10-13,20,343.16,333.44082512483624,333.44082512483624,-1.069615047966035,-0.030263988547553963,stop,0.009440858370404284,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1989-10-16,1989-10-17,1989-11-14,20,342.84,328.06145723300057,337.99,-0.374247318372303,-0.0161162778418639,temps,0.014368746127444685,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1989-12-19,1989-12-20,1990-01-19,20,342.5,331.54620746341885,339.15,-0.36805973698479005,-0.011759481394517931,temps,0.010660625339738335,1985-1989,objectif_2R|stop3.0|conf0
SPX,long,1990-01-12,1990-01-15,1990-01-22,5,339.93,331.75468078504684,333.5449391301288,-0.8633957431400164,-0.020743930587699425,stop,0.012025003993400365,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1990-06-25,1990-06-26,1990-07-19,16,352.32,344.4318604225239,362.4928858655258,1.1990245465061304,0.026818302552523265,stop,0.01119456683906121,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1990-07-23,1990-07-24,1990-08-03,8,355.31,346.47481352946073,349.2521991297737,-0.7653899656679528,-0.019013277031026763,stop,0.012433067561480516,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,short,1990-10-22,1990-10-23,1990-11-02,8,314.76,327.0145947673446,310.2948487424043,0.3133597219457787,0.012212289837344329,stop,0.01946656939786596,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,short,1990-11-05,1990-11-06,1990-11-12,4,314.59,325.10655345738417,315.3108337995164,-0.12843890717518897,-0.00429793292868787,stop,0.016714697634038295,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,short,1990-11-13,1990-11-14,1990-11-30,11,317.66,327.76978566236795,319.6991628944051,-0.2647456777706356,-0.008434178865951044,stop,0.015912903202115358,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,short,1990-12-03,1990-12-04,1990-12-06,2,324.11,332.5879516793595,330.5253767031212,-0.8339292729206044,-0.021835454533933724,stop,0.013078818424854985,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,short,1990-12-07,1990-12-10,1990-12-21,9,327.75,336.29958501442593,331.8921272449038,-0.5616377127131345,-0.0146653728393494,stop,0.013042845178376703,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,short,1990-12-26,1990-12-27,1991-01-16,13,330.85,337.70035990841575,316.8773260030168,1.9451454885765094,0.040315203131135485,stop,0.01035266723351323,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,short,1991-01-17,1991-01-18,1991-01-24,4,327.93,336.63672497198894,335.4553735923827,-0.9405096626251257,-0.024996053797752462,stop,0.013275279742611116,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1991-04-29,1991-04-30,1991-05-13,9,373.66,364.4121778940056,375.19453778227324,0.08495873249786214,0.002100568287065386,stop,0.012374648217623586,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1991-05-14,1991-05-15,1991-06-07,16,371.55,362.66282780891197,382.0073628392249,1.0918889909792253,0.02609100084785556,stop,0.011959591160123892,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1991-06-19,1991-06-20,1991-06-25,3,375.09,367.4872556544013,370.5278377836419,-0.6981400153504252,-0.014136547432789642,stop,0.010134560166358334,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1991-06-26,1991-06-27,1991-07-24,18,371.59,363.9097629776462,378.5765168168533,0.8119997184833319,0.01676611367328686,stop,0.01033428916595407,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1991-08-19,1991-08-20,1991-09-04,10,376.47,368.3627065327512,389.84236528647426,1.5549027517151859,0.033451428963067555,stop,0.010767515960433552,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1991-09-10,1991-09-11,1991-10-04,17,384.56,377.18931753568245,383.7158647128255,-0.218760089000329,-0.004188684084501084,stop,0.009583267194088757,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1991-10-07,1991-10-08,1991-10-23,11,379.5,373.13944051533446,387.2895902175425,1.1041168067457026,0.018486916580981633,stop,0.008380183774262917,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1991-11-15,1991-11-18,1991-11-19,1,382.62,374.38533307141415,376.9392378520274,-0.7820985890112471,-0.0168153455081445,stop,0.010760894527972742,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1992-02-18,1992-02-19,1992-03-05,11,407.38,398.91751543308277,408.4891864932598,0.03466089709791316,0.0007192898092299871,stop,0.010386475240460057,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1992-03-06,1992-03-09,1992-03-27,14,404.45,396.82495361723466,405.16688030102085,-0.012162100349932998,-0.0002290615288533586,stop,0.0094264388462917,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1992-03-30,1992-03-31,1992-04-03,3,403.0,396.74771821873736,398.97716691739896,-0.7716879082414043,-0.011960273596176546,stop,0.007757173425884153,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1992-04-07,1992-04-08,1992-04-20,7,398.05,390.6241067082574,408.0809950402834,1.242256477816744,0.023151986928391745,stop,0.009327839833868368,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1992-06-09,1992-06-10,1992-06-17,5,410.06,403.480484772313,405.3953881358497,-0.8328983310541781,-0.013350711260855574,stop,0.008022625015469695,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1992-06-19,1992-06-22,1992-07-07,10,403.64,396.91056912135576,408.860639171491,0.6550536905444357,0.01091005548885656,stop,0.0083359316205582,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1992-08-21,1992-08-24,1992-08-25,1,414.8,408.39173372185894,408.39173372185894,-1.1284577915449288,-0.017416185578796595,stop,0.007724525407595297,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1992-09-25,1992-09-28,1992-10-02,4,414.35,407.89178749791074,412.4912617848768,-0.4158394410278692,-0.006474952528846811,stop,0.007793185111728334,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1993-01-07,1993-01-08,1993-01-20,8,430.73,424.7124698450416,433.5999300536825,0.3332929078845203,0.004651629854205138,stop,0.006985269374037558,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1993-02-16,1993-02-17,1993-03-12,17,433.93,426.8741512459279,448.9672818597034,2.00604988445577,0.032586464023022586,stop,0.008130169329237531,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1993-04-02,1993-04-05,1993-04-20,10,441.42,433.2665371970566,443.3390439814693,0.1268522298420798,0.0023407450632096953,stop,0.009235493184431369,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1993-04-22,1993-04-23,1993-05-13,14,439.49,431.8880975318105,439.49782872006426,-0.114597511912469,-0.0019802243960862333,stop,0.008648549987701093,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1993-06-18,1993-06-21,1993-07-02,9,443.68,437.1005370763603,445.98473278650243,0.21507349006127768,0.003186202667049796,stop,0.007414648985349483,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1993-07-06,1993-07-07,1993-07-19,8,441.4,435.0142849026475,445.0120279469756,0.42683017915389776,0.006168765351161554,stop,0.007233478814400169,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1993-09-20,1993-09-21,1993-10-08,13,455.05,448.6972638206511,457.3297347841984,0.2152387586720746,0.0030018438860650244,stop,0.006980261706789284,1990-1994,trailing_2ATR|stop2.0|conf0
SPX,long,1993-11-04,1993-11-05,1993-11-19,10,457.49,451.0123127756858,460.44239082859923,0.3140717307458585,0.00444255833298856,stop,0.007079594334645753,1990-1994,trailing_2ATR|stop2.0|conf0
