actif,trades_backtest,trades_pine,esp_backtest,esp_pine,identique,ecarts
ADA,37,37,0.739831,0.739831,oui,-
BCH,30,30,-0.008097,-0.008097,oui,-
BNB,42,42,1.208649,1.208649,oui,-
BTC,38,38,1.276001,1.276001,oui,-
DOGE,35,35,1.334147,1.334147,oui,-
ETH,39,39,0.533585,0.533585,oui,-
SOL,25,25,1.709126,1.709126,oui,-
TRX,55,55,0.086003,0.086003,oui,-
XRP,36,36,0.79223,0.79223,oui,-
ZEC,44,44,-0.134907,-0.134907,oui,-
