seuil,stop_atr,trail_atr,max_bars,IS_n,IS_esp,OOS_n,OOS_esp,OOS_wr,tot_n,tot_esp,tot_wr,tot_t,R_par_an,dd_seq_%
1.5,2.5,3.0,40,188,0.8157,222,0.3739,40.1,410,0.5765,43.2,4.63,26.0,-8.6
1.5,2.5,4.0,40,156,1.1586,174,0.8637,42.0,330,1.0031,44.5,5.38,36.4,-8.6
1.5,2.5,5.0,40,143,1.2645,164,1.098,43.9,307,1.1755,46.9,5.66,39.7,-8.2
1.5,2.5,6.0,40,137,1.3867,161,1.1642,44.7,298,1.2665,48.3,5.89,41.5,-8.5
1.5,2.5,0.0,40,128,1.982,161,1.133,43.5,289,1.509,46.7,5.04,47.9,-7.0
2.0,1.0,2.0,40,276,0.4172,260,0.4566,34.6,536,0.4363,34.5,3.91,25.7,-19.4
2.0,1.0,3.0,40,217,1.0667,214,0.7429,29.0,431,0.9059,29.0,3.46,42.9,-25.9
2.0,1.0,4.0,40,194,1.3723,192,1.364,26.0,386,1.3682,25.4,3.71,58.0,-26.7
2.0,1.0,5.0,40,185,1.5176,183,1.8281,25.7,368,1.672,23.9,4.07,67.6,-29.4
2.0,1.0,6.0,40,183,1.4016,180,1.9324,24.4,363,1.6648,22.3,4.07,66.4,-29.9
2.0,1.0,0.0,40,178,2.1764,180,1.8528,23.3,358,2.0137,20.9,3.56,79.2,-29.9
2.0,1.25,2.0,40,259,0.3797,246,0.411,37.8,505,0.3949,38.2,4.07,21.9,-15.0
2.0,1.25,3.0,40,199,0.9697,197,0.7306,33.0,396,0.8507,33.8,3.67,37.0,-21.4
2.0,1.25,4.0,40,179,1.1637,176,1.2648,30.1,355,1.2138,28.5,3.76,47.4,-24.5
2.0,1.25,5.0,40,169,1.3321,170,1.6083,30.0,339,1.4706,27.7,4.1,54.8,-26.5
2.0,1.25,6.0,40,167,1.2242,167,1.7081,28.7,334,1.4662,26.3,4.09,53.8,-25.6
2.0,1.25,0.0,40,160,2.0039,167,1.6576,28.1,327,1.8271,25.7,3.68,65.7,-25.7
2.0,1.5,2.0,40,252,0.3127,240,0.3391,39.2,492,0.3256,39.4,3.87,17.6,-15.8
2.0,1.5,3.0,40,194,0.8186,188,0.656,37.2,382,0.7385,36.6,3.56,31.0,-19.2
2.0,1.5,4.0,40,173,1.0061,167,1.1854,33.5,340,1.0942,31.2,3.72,40.9,-21.4
2.0,1.5,5.0,40,163,1.1493,160,1.4937,32.5,323,1.3199,30.0,4.04,46.9,-23.9
2.0,1.5,6.0,40,159,1.1006,157,1.5963,31.8,316,1.3469,29.4,4.09,46.8,-24.0
2.0,1.5,0.0,40,152,1.8091,157,1.5481,31.2,309,1.6765,29.1,3.74,56.9,-22.3
2.0,2.0,2.0,40,238,0.3086,234,0.2662,40.6,472,0.2875,42.6,4.36,14.9,-10.1
2.0,2.0,3.0,40,171,0.8094,178,0.5048,40.4,349,0.6541,43.0,3.83,25.1,-10.7
2.0,2.0,4.0,40,148,1.0449,153,0.9961,37.9,301,1.0201,37.9,4.08,33.7,-15.3
2.0,2.0,5.0,40,135,1.379,142,1.4629,38.7,277,1.422,40.8,4.71,43.3,-15.7
2.0,2.0,6.0,40,131,1.3632,141,1.5206,36.9,272,1.4448,40.1,4.73,43.2,-17.1
2.0,2.0,0.0,40,124,2.0714,141,1.5085,36.9,265,1.7719,40.0,4.37,51.6,-14.3
2.0,2.5,2.0,40,235,0.2606,234,0.2155,40.6,469,0.2381,42.9,4.49,12.3,-8.1
2.0,2.5,3.0,40,161,0.7545,171,0.449,43.9,332,0.5971,46.1,4.16,21.8,-7.3
2.0,2.5,4.0,40,133,1.1937,141,0.991,44.7,274,1.0894,43.4,4.87,32.8,-10.9
2.0,2.5,5.0,40,122,1.357,133,1.2632,45.9,255,1.3081,47.8,5.36,36.7,-7.3
2.0,2.5,6.0,40,118,1.3597,131,1.333,45.8,249,1.3457,49.0,5.47,36.8,-8.1
2.0,2.5,0.0,40,112,1.9059,131,1.2989,45.8,243,1.5787,48.6,4.7,42.2,-9.0
2.5,1.0,2.0,40,202,0.3029,183,0.4325,39.3,385,0.3645,36.9,2.98,15.4,-17.0
2.5,1.0,3.0,40,167,0.9889,154,0.6925,31.2,321,0.8467,29.0,2.91,29.9,-25.7
2.5,1.0,4.0,40,155,1.2593,137,1.5353,25.5,292,1.3888,23.3,3.43,44.6,-24.3
2.5,1.0,5.0,40,150,1.0319,130,2.3008,30.0,280,1.621,23.9,3.75,49.9,-23.8
2.5,1.0,6.0,40,150,0.85,129,2.3312,29.5,279,1.5349,21.9,3.66,47.1,-21.1
2.5,1.0,0.0,40,144,1.9864,129,2.2403,27.9,273,2.1064,20.5,3.06,63.2,-21.1
2.5,1.25,2.0,40,194,0.2494,176,0.3592,42.0,370,0.3016,40.0,2.9,12.3,-16.5
2.5,1.25,3.0,40,157,0.8558,145,0.688,33.8,302,0.7752,33.1,3.05,25.7,-23.7
2.5,1.25,4.0,40,144,1.0694,128,1.4093,28.9,272,1.2294,26.1,3.49,36.7,-20.0
2.5,1.25,5.0,40,139,0.8724,122,2.0464,33.6,261,1.4212,27.6,3.78,40.8,-21.8
2.5,1.25,6.0,40,139,0.7057,121,2.0776,33.1,260,1.3441,25.4,3.68,38.4,-19.8
2.5,1.25,0.0,40,132,1.7042,121,2.0093,31.4,253,1.8501,23.7,3.1,51.4,-20.2
2.5,1.5,2.0,40,188,0.2372,174,0.2715,42.5,362,0.2537,42.0,2.82,10.1,-16.3
2.5,1.5,3.0,40,151,0.7343,141,0.5808,36.9,292,0.6602,36.3,3.0,21.2,-21.8
2.5,1.5,4.0,40,137,0.9349,122,1.5115,32.8,259,1.2065,29.7,3.53,34.3,-18.6
2.5,1.5,5.0,40,132,0.9337,116,2.0888,37.1,248,1.474,31.5,3.97,40.2,-20.4
2.5,1.5,6.0,40,132,0.8095,115,2.1173,36.5,247,1.4184,30.0,3.9,38.5,-19.7
2.5,1.5,0.0,40,125,1.7051,115,2.053,34.8,240,1.8718,28.3,3.39,49.4,-19.7
2.5,2.0,2.0,40,178,0.2652,171,0.2387,43.9,349,0.2522,45.6,3.48,9.7,-11.5
2.5,2.0,3.0,40,139,0.685,139,0.4233,38.1,278,0.5541,41.0,3.16,16.9,-16.8
2.5,2.0,4.0,40,123,0.8071,120,1.1114,35.0,243,0.9574,34.6,3.7,25.6,-16.2
2.5,2.0,5.0,40,117,0.9433,114,1.5223,38.6,231,1.229,38.5,4.24,31.2,-17.2
2.5,2.0,6.0,40,116,0.8883,113,1.5613,38.1,229,1.2204,37.6,4.2,30.7,-18.1
2.5,2.0,0.0,40,109,1.5978,113,1.5041,36.3,222,1.5501,35.1,3.56,37.8,-17.7
2.5,2.5,2.0,40,176,0.23,171,0.1928,43.9,347,0.2117,45.8,3.63,8.1,-7.1
2.5,2.5,3.0,40,134,0.5909,135,0.3495,40.7,269,0.4698,43.1,3.23,13.9,-11.5
2.5,2.5,4.0,40,114,0.8263,115,1.0029,40.9,229,0.915,39.7,4.09,23.0,-10.8
2.5,2.5,5.0,40,106,1.0645,110,1.3319,43.6,216,1.2007,45.4,4.79,28.5,-9.2
2.5,2.5,6.0,40,105,1.0043,109,1.3711,44.0,214,1.1912,44.9,4.73,28.0,-10.2
2.5,2.5,0.0,40,99,1.561,109,1.3293,43.1,208,1.4396,43.3,3.88,32.9,-10.3
3.0,1.0,2.0,40,143,0.1506,132,0.299,37.9,275,0.2218,35.6,1.7,6.7,-19.5
3.0,1.0,3.0,40,120,0.9744,115,0.4902,32.2,235,0.7375,26.8,2.39,19.0,-26.6
3.0,1.0,4.0,40,114,0.9449,102,1.3388,25.5,216,1.1309,22.7,2.77,26.8,-27.4
3.0,1.0,5.0,40,111,0.7493,100,1.8993,28.0,211,1.2944,21.8,3.02,30.0,-22.6
3.0,1.0,6.0,40,111,0.5866,100,1.9129,28.0,211,1.2152,19.9,2.93,28.2,-21.5
3.0,1.0,0.0,40,109,0.7126,100,1.8897,28.0,209,1.2758,18.7,2.8,29.3,-30.7
3.0,1.25,2.0,40,137,0.1211,124,0.3061,43.5,261,0.209,40.6,1.84,6.0,-13.8
3.0,1.25,3.0,40,115,0.7748,106,0.6051,34.9,221,0.6934,29.4,2.52,16.8,-23.8
