univers,condition,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
US500,P3 C>SMA200 & ext_ATR20 < -1,3,32869,1027,0.1536,0.1621,0.0345,2.02,0.86,56.59,53.91,2.68,ok
US500,P3 C>SMA200 & ext_ATR20 < -1,5,32695,1025,0.2529,0.2755,0.041,2.22,0.72,57.38,54.74,2.64,ok
US500,P3 C>SMA200 & ext_ATR20 < -1,10,32586,1020,0.5374,0.5687,0.0927,2.71,0.89,59.28,56.07,3.21,ok
US500,P3 C>SMA200 & ext_ATR20 < -1,20,32451,1010,1.0935,1.1413,0.1899,2.97,1.05,61.13,58.25,2.88,ok
US500,P4 C>SMA200 & 3 baisses d'affilee,1,27126,1015,0.087,0.0543,0.0454,2.57,1.67,55.17,52.13,3.03,ok
US500,P4 C>SMA200 & 3 baisses d'affilee,3,26938,1013,0.1193,0.1621,-0.0019,1.67,-0.04,55.13,53.91,1.22,ok
US500,P4 C>SMA200 & 3 baisses d'affilee,5,26768,1011,0.2145,0.2755,0.0053,1.98,0.09,56.03,54.74,1.29,ok
US500,P4 C>SMA200 & 3 baisses d'affilee,10,26545,1006,0.453,0.5687,-0.0161,2.55,-0.18,56.58,56.07,0.51,ok
US500,P4 C>SMA200 & 3 baisses d'affilee,20,26398,996,1.0365,1.1413,0.0853,3.32,0.58,58.61,58.25,0.36,ok
US500,P5 C>SMA200 & z20 < -1.5,1,26736,1004,0.1195,0.0543,0.0771,3.3,3.01,55.77,52.13,3.64,ok
US500,P5 C>SMA200 & z20 < -1.5,3,26386,1002,0.1953,0.1621,0.0676,2.49,1.53,56.78,53.91,2.88,ok
US500,P5 C>SMA200 & z20 < -1.5,5,26233,1000,0.2512,0.2755,0.0177,2.17,0.29,57.5,54.74,2.76,ok
US500,P5 C>SMA200 & z20 < -1.5,10,26139,995,0.4877,0.5687,0.0031,2.47,0.03,59.46,56.07,3.39,ok
US500,P5 C>SMA200 & z20 < -1.5,20,26034,985,1.0257,1.1413,0.0924,2.94,0.52,61.37,58.25,3.13,ok
US500,P6 C>SMA200 & pente+ & RSI2<10,1,25866,979,0.109,0.0543,0.0718,2.92,2.39,56.3,52.13,4.16,ok
US500,P6 C>SMA200 & pente+ & RSI2<10,3,25572,977,0.2026,0.1621,0.0896,2.65,1.77,56.15,53.91,2.24,ok
