univers,condition,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
SPX,P4 C>SMA200 & 3 baisses d'affilee,1,863,863,0.0604,0.0297,0.0307,1.96,1.0,55.97,52.69,3.28,ok
SPX,P4 C>SMA200 & 3 baisses d'affilee,3,863,863,0.2173,0.0896,0.1277,3.54,2.08,57.01,55.09,1.92,ok
SPX,P4 C>SMA200 & 3 baisses d'affilee,5,863,863,0.2914,0.1496,0.1418,2.88,1.4,57.01,55.83,1.18,ok
SPX,P4 C>SMA200 & 3 baisses d'affilee,10,863,863,0.4339,0.299,0.1348,2.61,0.81,58.98,57.95,1.03,ok
SPX,P4 C>SMA200 & 3 baisses d'affilee,20,863,863,0.7774,0.6024,0.175,4.09,0.92,61.53,60.34,1.19,ok
SPX,P5 C>SMA200 & z20 < -1.5,1,750,750,0.0165,0.0297,-0.0132,0.5,-0.4,52.93,52.69,0.24,ok
SPX,P5 C>SMA200 & z20 < -1.5,3,750,750,0.1678,0.0896,0.0782,2.13,0.99,56.4,55.09,1.31,ok
SPX,P5 C>SMA200 & z20 < -1.5,5,750,750,0.3518,0.1496,0.2022,2.73,1.57,57.87,55.83,2.04,ok
SPX,P5 C>SMA200 & z20 < -1.5,10,750,750,0.5569,0.299,0.2579,3.01,1.39,62.8,57.95,4.85,ok
SPX,P5 C>SMA200 & z20 < -1.5,20,750,750,1.1144,0.6024,0.512,4.07,1.87,67.33,60.34,7.0,ok
SPX,P6 C>SMA200 & pente+ & RSI2<10,1,906,906,0.0427,0.0297,0.013,1.44,0.44,54.19,52.69,1.5,ok
SPX,P6 C>SMA200 & pente+ & RSI2<10,3,906,906,0.2217,0.0896,0.1322,3.52,2.1,57.73,55.09,2.64,ok
SPX,P6 C>SMA200 & pente+ & RSI2<10,5,906,906,0.2849,0.1496,0.1353,2.73,1.3,58.39,55.83,2.56,ok
SPX,P6 C>SMA200 & pente+ & RSI2<10,10,906,906,0.3879,0.299,0.0888,2.1,0.48,59.38,57.95,1.43,ok
SPX,P6 C>SMA200 & pente+ & RSI2<10,20,906,906,0.8015,0.6024,0.1992,3.5,0.87,61.92,60.34,1.58,ok
SPX,P7 C<SMA200 & RSI2>90,1,488,488,-0.0097,0.0297,-0.0394,-0.19,-0.78,52.05,52.69,-0.64,ok
SPX,P7 C<SMA200 & RSI2>90,3,488,488,-0.1842,0.0896,-0.2737,-1.69,-2.51,48.77,55.09,-6.32,ok
SPX,P7 C<SMA200 & RSI2>90,5,488,488,-0.2866,0.1496,-0.4362,-1.86,-2.84,51.84,55.83,-3.99,ok
SPX,P7 C<SMA200 & RSI2>90,10,488,488,-0.2877,0.299,-0.5868,-1.14,-2.33,47.95,57.95,-10.0,ok
SPX,P7 C<SMA200 & RSI2>90,20,486,486,0.0633,0.6024,-0.5391,0.14,-1.17,55.35,60.34,-4.99,ok
SPX,P8 C<SMA200 & pente- & RSI2>90,1,395,395,-0.0284,0.0297,-0.0581,-0.48,-0.98,50.38,52.69,-2.31,ok
SPX,P8 C<SMA200 & pente- & RSI2>90,3,395,395,-0.2626,0.0896,-0.3521,-2.03,-2.73,46.58,55.09,-8.51,ok
SPX,P8 C<SMA200 & pente- & RSI2>90,5,395,395,-0.4351,0.1496,-0.5847,-2.44,-3.28,48.61,55.83,-7.22,ok
SPX,P8 C<SMA200 & pente- & RSI2>90,10,395,395,-0.5677,0.299,-0.8667,-2.1,-3.21,42.78,57.95,-15.17,ok
SPX,P8 C<SMA200 & pente- & RSI2>90,20,393,393,-0.413,0.6024,-1.0153,-0.85,-2.1,49.62,60.34,-10.72,ok
SPX,B1 nouveau plus haut 20j,1,729,729,0.0121,0.0297,-0.0176,0.51,-0.74,49.52,52.69,-3.17,ok
SPX,B1 nouveau plus haut 20j,3,729,729,0.0445,0.0896,-0.0451,0.95,-0.96,53.77,55.09,-1.32,ok
SPX,B1 nouveau plus haut 20j,5,729,729,0.1036,0.1496,-0.046,1.55,-0.69,56.52,55.83,0.69,ok
SPX,B1 nouveau plus haut 20j,10,729,729,0.3889,0.299,0.0898,3.61,0.83,63.92,57.95,5.97,ok
SPX,B1 nouveau plus haut 20j,20,729,729,0.6088,0.6024,0.0064,3.42,0.04,63.51,60.34,3.18,ok
SPX,B2 nouveau plus haut 252j,1,467,467,0.0087,0.0297,-0.021,0.34,-0.82,50.96,52.69,-1.73,ok
SPX,B2 nouveau plus haut 252j,3,467,467,0.0402,0.0896,-0.0493,0.73,-0.89,53.75,55.09,-1.34,ok
SPX,B2 nouveau plus haut 252j,5,467,467,0.0758,0.1496,-0.0738,0.89,-0.87,56.32,55.83,0.49,ok
SPX,B2 nouveau plus haut 252j,10,467,467,0.3607,0.299,0.0617,2.55,0.44,65.31,57.95,7.36,ok
SPX,B2 nouveau plus haut 252j,20,467,467,0.4728,0.6024,-0.1296,1.94,-0.53,62.1,60.34,1.76,ok
SPX,B3 nouveau plus bas 20j,1,186,186,0.1837,0.0297,0.154,1.54,1.29,59.14,52.69,6.45,ok
SPX,B3 nouveau plus bas 20j,3,186,186,0.4353,0.0896,0.3458,2.08,1.65,61.29,55.09,6.2,ok
SPX,B3 nouveau plus bas 20j,5,186,186,0.6976,0.1496,0.548,2.89,2.27,63.44,55.83,7.61,ok
SPX,B3 nouveau plus bas 20j,10,186,186,0.8834,0.299,0.5844,2.8,1.85,65.59,57.95,7.64,ok
SPX,B3 nouveau plus bas 20j,20,186,186,1.5749,0.6024,0.9725,2.95,1.82,71.51,60.34,11.17,ok
SPX,V1 vol calme (rang<0.3),1,4945,4945,0.0122,0.0297,-0.0175,1.2,-1.73,53.1,52.69,0.41,ok
SPX,V1 vol calme (rang<0.3),3,4945,4945,0.0478,0.0896,-0.0418,1.88,-1.64,54.52,55.09,-0.57,ok
SPX,V1 vol calme (rang<0.3),5,4945,4945,0.0958,0.1496,-0.0538,2.32,-1.3,54.98,55.83,-0.85,ok
SPX,V1 vol calme (rang<0.3),10,4945,4945,0.2225,0.299,-0.0765,2.8,-0.96,57.29,57.95,-0.66,ok
SPX,V1 vol calme (rang<0.3),20,4945,4945,0.4859,0.6024,-0.1164,3.21,-0.77,60.04,60.34,-0.3,ok
SPX,V2 vol elevee (rang>0.8),1,3378,3378,0.0301,0.0297,0.0004,1.18,0.01,51.87,52.69,-0.83,ok
SPX,V2 vol elevee (rang>0.8),3,3376,3376,0.0882,0.0896,-0.0014,1.46,-0.02,54.62,55.09,-0.47,ok
SPX,V2 vol elevee (rang>0.8),5,3374,3374,0.1331,0.1496,-0.0165,1.41,-0.17,55.39,55.83,-0.44,ok
SPX,V2 vol elevee (rang>0.8),10,3369,3369,0.256,0.299,-0.0431,1.47,-0.25,57.02,57.95,-0.93,ok
SPX,V2 vol elevee (rang>0.8),20,3359,3359,0.7108,0.6024,0.1084,2.22,0.34,60.08,60.34,-0.26,ok
SPX,V3 compression de range (<0.7),1,972,972,0.0128,0.0297,-0.0168,0.46,-0.6,53.09,52.69,0.4,ok
SPX,V3 compression de range (<0.7),3,972,972,0.0072,0.0896,-0.0824,0.11,-1.24,52.57,55.09,-2.52,ok
SPX,V3 compression de range (<0.7),5,972,972,0.0522,0.1496,-0.0974,0.49,-0.91,54.63,55.83,-1.2,ok
SPX,V3 compression de range (<0.7),10,972,972,0.2408,0.299,-0.0582,1.34,-0.32,60.39,57.95,2.44,ok
SPX,V3 compression de range (<0.7),20,971,971,0.628,0.6024,0.0256,2.06,0.08,64.78,60.34,4.44,ok
SPX,X1 C>SMA200 & vol calme,1,6082,6082,0.0376,0.0297,0.0079,4.17,0.88,54.03,52.69,1.34,ok
SPX,X1 C>SMA200 & vol calme,3,6082,6082,0.1102,0.0896,0.0206,4.91,0.92,56.35,55.09,1.26,ok
SPX,X1 C>SMA200 & vol calme,5,6082,6082,0.1726,0.1496,0.023,4.78,0.64,57.02,55.83,1.19,ok
SPX,X1 C>SMA200 & vol calme,10,6082,6082,0.3199,0.299,0.0209,4.69,0.31,59.13,57.95,1.18,ok
SPX,X1 C>SMA200 & vol calme,20,6082,6082,0.622,0.6024,0.0197,4.89,0.15,61.99,60.34,1.65,ok
SPX,X2 C>SMA200 & vol extreme,1,1517,1517,0.048,0.0297,0.0183,1.81,0.69,52.8,52.69,0.11,ok
SPX,X2 C>SMA200 & vol extreme,3,1517,1517,0.1208,0.0896,0.0313,1.76,0.45,56.82,55.09,1.73,ok
SPX,X2 C>SMA200 & vol extreme,5,1517,1517,0.2148,0.1496,0.0652,1.91,0.58,58.01,55.83,2.18,ok
SPX,X2 C>SMA200 & vol extreme,10,1517,1517,0.4094,0.299,0.1103,1.9,0.51,60.18,57.95,2.23,ok
SPX,X2 C>SMA200 & vol extreme,20,1516,1516,0.9242,0.6024,0.3218,2.49,0.87,62.34,60.34,2.0,ok
SPX,X3 C>SMA200 & RSI2<10 & vol<0.8,1,781,781,0.0333,0.0297,0.0036,1.19,0.13,54.29,52.69,1.6,ok
SPX,X3 C>SMA200 & RSI2<10 & vol<0.8,3,781,781,0.2306,0.0896,0.141,3.75,2.29,57.75,55.09,2.66,ok
SPX,X3 C>SMA200 & RSI2<10 & vol<0.8,5,781,781,0.3073,0.1496,0.1577,3.31,1.7,58.13,55.83,2.3,ok
SPX,X3 C>SMA200 & RSI2<10 & vol<0.8,10,781,781,0.5464,0.299,0.2473,3.62,1.64,60.69,57.95,2.74,ok
SPX,X3 C>SMA200 & RSI2<10 & vol<0.8,20,781,781,0.8747,0.6024,0.2723,5.13,1.6,61.97,60.34,1.64,ok
SPX,X4 C>SMA200 & RSI2<10 & vol>0.8,1,158,158,0.1077,0.0297,0.078,1.1,0.8,56.33,52.69,3.64,ok
SPX,X4 C>SMA200 & RSI2<10 & vol>0.8,3,158,158,0.2128,0.0896,0.1232,1.07,0.62,56.96,55.09,1.87,ok
SPX,X4 C>SMA200 & RSI2<10 & vol>0.8,5,158,158,0.3436,0.1496,0.194,0.89,0.5,60.13,55.83,4.3,ok
SPX,X4 C>SMA200 & RSI2<10 & vol>0.8,10,158,158,0.0157,0.299,-0.2833,0.02,-0.36,56.33,57.95,-1.62,ok
SPX,X4 C>SMA200 & RSI2<10 & vol>0.8,20,158,158,0.9715,0.6024,0.3691,1.15,0.44,65.82,60.34,5.49,ok
SPX,S1 cloture dans le haut de barre (>0.8),1,3252,3252,0.0527,0.0297,0.023,3.04,1.33,52.64,52.69,-0.05,ok
SPX,S1 cloture dans le haut de barre (>0.8),3,3252,3252,0.1017,0.0896,0.0121,3.01,0.36,56.58,55.09,1.49,ok
SPX,S1 cloture dans le haut de barre (>0.8),5,3252,3252,0.1293,0.1496,-0.0203,2.56,-0.4,56.98,55.83,1.15,ok
SPX,S1 cloture dans le haut de barre (>0.8),10,3251,3251,0.2846,0.299,-0.0145,3.02,-0.15,58.2,57.95,0.25,ok
SPX,S1 cloture dans le haut de barre (>0.8),20,3246,3246,0.6327,0.6024,0.0304,3.52,0.17,62.14,60.34,1.8,ok
SPX,S2 cloture dans le bas de barre (<0.2),1,2227,2227,0.022,0.0297,-0.0077,0.81,-0.29,53.48,52.69,0.79,ok
SPX,S2 cloture dans le bas de barre (<0.2),3,2226,2226,0.2088,0.0896,0.1192,4.05,2.31,56.69,55.09,1.6,ok
SPX,S2 cloture dans le bas de barre (<0.2),5,2226,2226,0.3456,0.1496,0.196,4.78,2.71,57.59,55.83,1.76,ok
SPX,S2 cloture dans le bas de barre (<0.2),10,2224,2224,0.5696,0.299,0.2705,4.66,2.21,59.76,57.95,1.81,ok
SPX,S2 cloture dans le bas de barre (<0.2),20,2221,2221,0.9456,0.6024,0.3432,4.22,1.53,63.8,60.34,3.46,ok
SPX,S3 C>SMA200 & RSI2<10 & cloture>0.5,1,134,134,0.112,0.0297,0.0823,1.47,1.08,58.96,52.69,6.26,ok
SPX,S3 C>SMA200 & RSI2<10 & cloture>0.5,3,134,134,0.1808,0.0896,0.0912,1.23,0.62,55.22,55.09,0.13,ok
SPX,S3 C>SMA200 & RSI2<10 & cloture>0.5,5,134,134,0.0694,0.1496,-0.0802,0.25,-0.29,54.48,55.83,-1.35,ok
SPX,S3 C>SMA200 & RSI2<10 & cloture>0.5,10,134,134,-0.1493,0.299,-0.4483,-0.38,-1.16,50.75,57.95,-7.2,ok
SPX,S3 C>SMA200 & RSI2<10 & cloture>0.5,20,134,134,0.3704,0.6024,-0.232,0.95,-0.6,58.21,60.34,-2.13,ok
SPX,C1 tour du mois (jour>=28 ou <=3),1,2989,2989,0.0831,0.0297,0.0534,4.47,2.87,54.67,52.69,1.98,ok
SPX,C1 tour du mois (jour>=28 ou <=3),3,2989,2989,0.2021,0.0896,0.1126,4.76,2.65,57.61,55.09,2.52,ok
SPX,C1 tour du mois (jour>=28 ou <=3),5,2989,2989,0.2303,0.1496,0.0807,3.61,1.27,57.64,55.83,1.81,ok
SPX,C1 tour du mois (jour>=28 ou <=3),10,2989,2989,0.4281,0.299,0.1291,4.19,1.26,59.45,57.95,1.5,ok
SPX,C1 tour du mois (jour>=28 ou <=3),20,2985,2985,0.5454,0.6024,-0.057,3.47,-0.36,59.1,60.34,-1.24,ok
SPX,C2 lundi,1,2739,2739,0.0504,0.0297,0.0207,2.73,1.12,51.73,52.69,-0.96,ok
SPX,C2 lundi,3,2739,2739,0.1529,0.0896,0.0634,4.92,2.04,56.37,55.09,1.28,ok
SPX,C2 lundi,5,2738,2738,0.1519,0.1496,0.0023,3.54,0.05,54.78,55.83,-1.05,ok
SPX,C2 lundi,10,2737,2737,0.3007,0.299,0.0017,3.8,0.02,57.29,57.95,-0.66,ok
SPX,C2 lundi,20,2735,2735,0.6546,0.6024,0.0522,4.19,0.33,60.95,60.34,0.61,ok
BTC,T1 tendance haussiere (C>SMA200),1,3197,3197,0.3755,0.2616,0.1139,5.02,1.52,54.21,52.46,1.75,ok
BTC,T1 tendance haussiere (C>SMA200),3,3195,3195,1.1557,0.7749,0.3808,6.05,1.99,56.87,55.14,1.73,ok
BTC,T1 tendance haussiere (C>SMA200),5,3193,3193,1.9215,1.2904,0.6312,5.83,1.92,56.75,54.84,1.91,ok
BTC,T1 tendance haussiere (C>SMA200),10,3188,3188,3.9638,2.6533,1.3105,5.25,1.74,57.15,55.45,1.7,ok
BTC,T1 tendance haussiere (C>SMA200),20,3178,3178,8.4854,5.6943,2.7911,4.31,1.42,58.28,56.23,2.05,ok
BTC,T2 tendance baissiere (C<SMA200),1,1978,1978,0.0623,0.2616,-0.1993,0.8,-2.57,49.65,52.46,-2.81,ok
BTC,T2 tendance baissiere (C<SMA200),3,1978,1978,0.1332,0.7749,-0.6417,0.71,-3.4,52.17,55.14,-2.96,ok
BTC,T2 tendance baissiere (C<SMA200),5,1978,1978,0.2492,1.2904,-1.0411,0.82,-3.42,51.31,54.84,-3.53,ok
BTC,T2 tendance baissiere (C<SMA200),10,1978,1978,0.5642,2.6533,-2.0891,0.95,-3.52,52.22,55.45,-3.23,ok
BTC,T2 tendance baissiere (C<SMA200),20,1978,1978,1.2834,5.6943,-4.4108,1.09,-3.76,52.22,56.23,-4.0,ok
BTC,T3 momentum 12-1 positif,1,3624,3624,0.3752,0.2616,0.1136,5.5,1.67,53.81,52.46,1.35,ok
BTC,T3 momentum 12-1 positif,3,3624,3624,1.107,0.7749,0.3321,6.36,1.91,56.62,55.14,1.48,ok
BTC,T3 momentum 12-1 positif,5,3624,3624,1.8394,1.2904,0.549,6.17,1.84,56.87,54.84,2.03,ok
BTC,T3 momentum 12-1 positif,10,3624,3624,3.822,2.6533,1.1687,5.63,1.72,57.01,55.45,1.56,ok
BTC,T3 momentum 12-1 positif,20,3624,3624,8.105,5.6943,2.4107,4.63,1.38,58.47,56.23,2.24,ok
BTC,T4 SMA200 en pente positive,1,3513,3513,0.3542,0.2616,0.0926,5.01,1.31,53.74,52.46,1.29,ok
BTC,T4 SMA200 en pente positive,3,3511,3511,1.0584,0.7749,0.2835,5.88,1.57,56.19,55.14,1.06,ok
BTC,T4 SMA200 en pente positive,5,3509,3509,1.7648,1.2904,0.4745,5.73,1.54,56.28,54.84,1.44,ok
BTC,T4 SMA200 en pente positive,10,3504,3504,3.5885,2.6533,0.9352,5.15,1.34,56.14,55.45,0.68,ok
BTC,T4 SMA200 en pente positive,20,3498,3498,7.723,5.6943,2.0287,4.29,1.13,57.78,56.23,1.55,ok
BTC,R1 RSI2 < 10 (sans filtre),1,555,555,0.5666,0.2616,0.305,2.8,1.51,58.2,52.46,5.74,ok
BTC,R1 RSI2 < 10 (sans filtre),3,555,555,0.4974,0.7749,-0.2775,1.25,-0.7,55.86,55.14,0.72,ok
BTC,R1 RSI2 < 10 (sans filtre),5,555,555,0.6459,1.2904,-0.6444,1.22,-1.21,55.5,54.84,0.65,ok
BTC,R1 RSI2 < 10 (sans filtre),10,554,554,1.2555,2.6533,-1.3978,1.59,-1.77,55.05,55.45,-0.4,ok
BTC,R1 RSI2 < 10 (sans filtre),20,554,554,2.3457,5.6943,-3.3486,1.87,-2.67,54.15,56.23,-2.08,ok
BTC,R2 3 cloture baissieres d'affilee,1,519,519,0.5209,0.2616,0.2593,2.68,1.33,56.07,52.46,3.61,ok
BTC,R2 3 cloture baissieres d'affilee,3,519,519,0.8729,0.7749,0.098,1.95,0.22,57.61,55.14,2.47,ok
BTC,R2 3 cloture baissieres d'affilee,5,519,519,0.9444,1.2904,-0.3459,1.58,-0.58,56.45,54.84,1.61,ok
BTC,R2 3 cloture baissieres d'affilee,10,517,517,1.4103,2.6533,-1.243,1.54,-1.36,54.35,55.45,-1.1,ok
BTC,R2 3 cloture baissieres d'affilee,20,517,517,1.9454,5.6943,-3.7489,1.33,-2.57,51.64,56.23,-4.58,ok
BTC,R3 z-score 20j < -1.5,1,547,547,0.1919,0.2616,-0.0697,0.94,-0.34,54.84,52.46,2.39,ok
BTC,R3 z-score 20j < -1.5,3,547,547,0.193,0.7749,-0.5819,0.48,-1.45,55.94,55.14,0.8,ok
BTC,R3 z-score 20j < -1.5,5,546,546,0.367,1.2904,-0.9233,0.62,-1.55,56.59,54.84,1.75,ok
BTC,R3 z-score 20j < -1.5,10,545,545,0.9796,2.6533,-1.6737,1.02,-1.75,52.29,55.45,-3.16,ok
BTC,R3 z-score 20j < -1.5,20,545,545,0.6548,5.6943,-5.0395,0.48,-3.72,49.17,56.23,-7.05,ok
BTC,P1 C>SMA200 & RSI2<10,1,248,248,0.6076,0.2616,0.346,1.86,1.06,57.26,52.46,4.8,ok
BTC,P1 C>SMA200 & RSI2<10,3,248,248,1.0422,0.7749,0.2673,1.69,0.43,57.26,55.14,2.12,ok
BTC,P1 C>SMA200 & RSI2<10,5,248,248,1.093,1.2904,-0.1973,1.37,-0.25,53.63,54.84,-1.21,ok
BTC,P1 C>SMA200 & RSI2<10,10,247,247,2.0024,2.6533,-0.6509,1.63,-0.53,55.47,55.45,0.01,ok
BTC,P1 C>SMA200 & RSI2<10,20,247,247,4.0626,5.6943,-1.6317,2.11,-0.85,56.28,56.23,0.05,ok
BTC,P2 C>SMA200 & RSI2<5,1,117,117,0.7686,0.2616,0.507,1.45,0.96,58.12,52.46,5.66,ok
BTC,P2 C>SMA200 & RSI2<5,3,117,117,1.6016,0.7749,0.8267,2.3,1.19,61.54,55.14,6.4,ok
BTC,P2 C>SMA200 & RSI2<5,5,117,117,1.8812,1.2904,0.5908,1.43,0.45,59.83,54.84,4.99,ok
BTC,P2 C>SMA200 & RSI2<5,10,116,116,2.2479,2.6533,-0.4054,1.4,-0.25,55.17,55.45,-0.28,ok
BTC,P2 C>SMA200 & RSI2<5,20,116,116,3.1996,5.6943,-2.4946,1.51,-1.18,52.59,56.23,-3.64,ok
BTC,P3 C>SMA200 & ext_ATR20 < -1,1,261,261,0.7021,0.2616,0.4405,1.85,1.16,58.24,52.46,5.78,ok
BTC,P3 C>SMA200 & ext_ATR20 < -1,3,261,261,1.3658,0.7749,0.5909,2.04,0.88,60.92,55.14,5.78,ok
BTC,P3 C>SMA200 & ext_ATR20 < -1,5,261,261,1.2244,1.2904,-0.0659,1.35,-0.07,57.47,54.84,2.63,ok
BTC,P3 C>SMA200 & ext_ATR20 < -1,10,261,261,2.2769,2.6533,-0.3764,1.45,-0.24,54.79,55.45,-0.66,ok
BTC,P3 C>SMA200 & ext_ATR20 < -1,20,261,261,4.0976,5.6943,-1.5967,1.85,-0.72,58.62,56.23,2.39,ok
BTC,P4 C>SMA200 & 3 baisses d'affilee,1,264,264,0.8113,0.2616,0.5497,2.6,1.76,56.82,52.46,4.36,ok
BTC,P4 C>SMA200 & 3 baisses d'affilee,3,264,264,1.9611,0.7749,1.1862,2.86,1.73,60.61,55.14,5.47,ok
BTC,P4 C>SMA200 & 3 baisses d'affilee,5,264,264,2.1798,1.2904,0.8895,2.4,0.98,56.44,54.84,1.6,ok
BTC,P4 C>SMA200 & 3 baisses d'affilee,10,262,262,3.1624,2.6533,0.5091,2.3,0.37,53.44,55.45,-2.02,ok
BTC,P4 C>SMA200 & 3 baisses d'affilee,20,262,262,4.3034,5.6943,-1.3909,1.92,-0.62,52.29,56.23,-3.94,ok
BTC,P5 C>SMA200 & z20 < -1.5,1,209,209,0.1455,0.2616,-0.1161,0.39,-0.31,55.98,52.46,3.52,ok
BTC,P5 C>SMA200 & z20 < -1.5,3,209,209,0.2641,0.7749,-0.5108,0.39,-0.76,57.42,55.14,2.28,ok
BTC,P5 C>SMA200 & z20 < -1.5,5,208,208,0.236,1.2904,-1.0543,0.23,-1.04,54.81,54.84,-0.03,ok
BTC,P5 C>SMA200 & z20 < -1.5,10,207,207,1.6559,2.6533,-0.9974,1.03,-0.62,53.14,55.45,-2.31,ok
BTC,P5 C>SMA200 & z20 < -1.5,20,207,207,1.9166,5.6943,-3.7777,0.84,-1.65,51.69,56.23,-4.54,ok
BTC,P6 C>SMA200 & pente+ & RSI2<10,1,238,238,0.5731,0.2616,0.3115,1.7,0.92,56.72,52.46,4.27,ok
BTC,P6 C>SMA200 & pente+ & RSI2<10,3,238,238,0.941,0.7749,0.1661,1.47,0.26,57.14,55.14,2.01,ok
BTC,P6 C>SMA200 & pente+ & RSI2<10,5,238,238,0.9903,1.2904,-0.3001,1.22,-0.37,54.2,54.84,-0.64,ok
BTC,P6 C>SMA200 & pente+ & RSI2<10,10,237,237,1.7217,2.6533,-0.9316,1.44,-0.78,55.27,55.45,-0.18,ok
BTC,P6 C>SMA200 & pente+ & RSI2<10,20,237,237,3.9542,5.6943,-1.7401,2.18,-0.96,56.54,56.23,0.31,ok
BTC,P7 C<SMA200 & RSI2>90,1,208,208,0.3907,0.2616,0.1291,1.67,0.55,49.52,52.46,-2.94,ok
BTC,P7 C<SMA200 & RSI2>90,3,208,208,1.0134,0.7749,0.2385,1.79,0.42,51.92,55.14,-3.21,ok
BTC,P7 C<SMA200 & RSI2>90,5,208,208,0.8889,1.2904,-0.4014,0.99,-0.45,47.12,54.84,-7.73,ok
BTC,P7 C<SMA200 & RSI2>90,10,208,208,1.6976,2.6533,-0.9557,1.26,-0.71,53.85,55.45,-1.61,ok
BTC,P7 C<SMA200 & RSI2>90,20,208,208,1.8639,5.6943,-3.8304,0.77,-1.58,50.0,56.23,-6.23,ok
BTC,P8 C<SMA200 & pente- & RSI2>90,1,157,157,0.4376,0.2616,0.176,1.61,0.65,48.41,52.46,-4.05,ok
BTC,P8 C<SMA200 & pente- & RSI2>90,3,157,157,0.7825,0.7749,0.0076,1.18,0.01,49.68,55.14,-5.46,ok
BTC,P8 C<SMA200 & pente- & RSI2>90,5,157,157,0.4088,1.2904,-0.8816,0.38,-0.83,43.31,54.84,-11.53,ok
BTC,P8 C<SMA200 & pente- & RSI2>90,10,157,157,0.996,2.6533,-1.6573,0.64,-1.06,49.04,55.45,-6.41,ok
BTC,P8 C<SMA200 & pente- & RSI2>90,20,157,157,0.889,5.6943,-4.8053,0.36,-1.95,48.41,56.23,-7.82,ok
BTC,V1 vol calme (rang<0.3),1,1790,1790,0.0556,0.2616,-0.206,0.87,-3.22,51.06,52.46,-1.39,ok
BTC,V1 vol calme (rang<0.3),3,1790,1790,0.213,0.7749,-0.562,1.26,-3.32,53.13,55.14,-2.01,ok
BTC,V1 vol calme (rang<0.3),5,1790,1790,0.4861,1.2904,-0.8043,1.65,-2.72,52.85,54.84,-1.99,ok
BTC,V1 vol calme (rang<0.3),10,1790,1790,1.35,2.6533,-1.3033,2.13,-2.06,52.74,55.45,-2.71,ok
BTC,V1 vol calme (rang<0.3),20,1790,1790,2.9868,5.6943,-2.7075,2.18,-1.98,52.35,56.23,-3.88,ok
BTC,V2 vol elevee (rang>0.8),1,998,998,0.614,0.2616,0.3524,3.35,1.92,53.91,52.46,1.45,ok
BTC,V2 vol elevee (rang>0.8),3,998,998,1.6916,0.7749,0.9167,3.82,2.07,58.52,55.14,3.38,ok
BTC,V2 vol elevee (rang>0.8),5,998,998,2.6251,1.2904,1.3348,3.64,1.85,58.72,54.84,3.88,ok
BTC,V2 vol elevee (rang>0.8),10,998,998,5.0452,2.6533,2.3919,3.49,1.66,58.12,55.45,2.66,ok
BTC,V2 vol elevee (rang>0.8),20,988,988,10.1853,5.6943,4.491,3.16,1.39,62.65,56.23,6.42,ok
BTC,V3 compression de range (<0.7),1,1284,1284,0.0506,0.2616,-0.211,0.55,-2.3,51.48,52.46,-0.98,ok
BTC,V3 compression de range (<0.7),3,1284,1284,0.1934,0.7749,-0.5815,0.87,-2.6,54.05,55.14,-1.09,ok
BTC,V3 compression de range (<0.7),5,1284,1284,0.6094,1.2904,-0.681,1.69,-1.89,54.83,54.84,-0.01,ok
BTC,V3 compression de range (<0.7),10,1284,1284,1.9194,2.6533,-0.7339,2.66,-1.02,56.15,55.45,0.7,ok
BTC,V3 compression de range (<0.7),20,1284,1284,4.4769,5.6943,-1.2174,2.95,-0.8,57.55,56.23,1.33,ok
BTC,X1 C>SMA200 & vol calme,1,1457,1457,0.1486,0.2616,-0.113,2.01,-1.53,51.75,52.46,-0.71,ok
BTC,X1 C>SMA200 & vol calme,3,1456,1456,0.4769,0.7749,-0.298,2.52,-1.58,53.3,55.14,-1.84,ok
BTC,X1 C>SMA200 & vol calme,5,1455,1455,0.8356,1.2904,-0.4548,2.51,-1.37,53.2,54.84,-1.65,ok
BTC,X1 C>SMA200 & vol calme,10,1451,1451,2.1434,2.6533,-0.51,3.02,-0.72,55.07,55.45,-0.39,ok
BTC,X1 C>SMA200 & vol calme,20,1451,1451,4.8365,5.6943,-0.8577,3.15,-0.56,55.55,56.23,-0.68,ok
BTC,X2 C>SMA200 & vol extreme,1,741,741,0.568,0.2616,0.3064,2.47,1.33,54.93,52.46,2.47,ok
BTC,X2 C>SMA200 & vol extreme,3,741,741,1.8653,0.7749,1.0904,3.3,1.93,58.7,55.14,3.57,ok
BTC,X2 C>SMA200 & vol extreme,5,741,741,2.9746,1.2904,1.6843,3.22,1.82,59.51,54.84,4.67,ok
BTC,X2 C>SMA200 & vol extreme,10,741,741,6.0322,2.6533,3.3789,3.21,1.8,59.51,55.45,4.06,ok
BTC,X2 C>SMA200 & vol extreme,20,731,731,12.9838,5.6943,7.2895,3.07,1.73,65.12,56.23,8.89,ok
BTC,X3 C>SMA200 & RSI2<10 & vol<0.8,1,187,187,0.135,0.2616,-0.1266,0.48,-0.45,55.61,52.46,3.16,ok
BTC,X3 C>SMA200 & RSI2<10 & vol<0.8,3,187,187,0.1462,0.7749,-0.6287,0.29,-1.26,55.61,55.14,0.48,ok
BTC,X3 C>SMA200 & RSI2<10 & vol<0.8,5,187,187,0.246,1.2904,-1.0444,0.32,-1.37,50.27,54.84,-4.57,ok
