symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,atr_pct_entree
SPX,short,1962-11-13,1962-11-14,1962-12-05,14,59.46,62.982554864027996,62.982554864027996,-1.0347595877396814,-0.06136303506486672,stop,0.019747476533400598
SPX,long,1963-07-23,1963-07-24,1963-08-21,20,67.91,65.37733323186423,71.29,1.2795998434430744,0.04767431066945141,temps,0.012431486615303466
SPX,long,1963-11-19,1963-11-20,1963-12-20,20,71.9,69.06879209901325,74.28,0.7889989284154867,0.03103739098175828,temps,0.013125674088951102
SPX,long,1964-06-05,1964-06-08,1964-07-07,20,79.02,76.07723098646271,83.12,1.3381478403113318,0.04978392905500005,temps,0.012413604207952792
SPX,long,1964-12-02,1964-12-03,1965-01-04,20,83.79,80.70107839323046,84.23,0.08805014649900461,0.003242729343696037,temps,0.012288346289412187
SPX,long,1965-06-04,1965-06-07,1965-06-15,6,87.11,83.61150667479036,83.61150667479036,-1.0487985800757675,-0.042079546350612056,stop,0.013387262561549148
SPX,long,1966-02-25,1966-02-28,1966-03-15,11,91.14,87.03343844202229,87.03343844202229,-1.0433874997188057,-0.046965707064711995,stop,0.015019243500759673
SPX,short,1966-10-31,1966-11-01,1966-12-01,20,80.2,85.32998565571627,80.08,-0.007851873806920344,-0.0005027471361635407,temps,0.021321636141796625
SPX,short,1966-12-13,1966-12-14,1967-01-13,20,82.73,87.15291594596214,84.53,-0.4447880140693104,-0.023803085086778808,temps,0.01782068554721033
SPX,short,1968-04-05,1968-04-08,1968-05-02,16,93.29,98.69877733208624,98.69877733208624,-1.035495781309603,-0.060096178388897005,stop,0.019326034702133957
SPX,long,1968-07-30,1968-08-01,1968-09-05,20,97.74,91.89749572468939,100.74,0.4795067094497033,0.02863434907633814,temps,0.01992532663293979
SPX,long,1968-12-31,1969-01-02,1969-01-13,7,103.86,98.23174802228944,98.23174802228944,-1.0359066631740386,-0.05608048533146838,stop,0.0180635855244578
SPX,short,1969-10-23,1969-10-24,1969-11-21,20,97.46,102.89380262538798,94.32,0.5425703146126877,0.03028084517926511,temps,0.018584727496367668
SPX,short,1970-07-24,1970-07-27,1970-08-24,20,77.82,83.29702112345055,80.99,-0.6077774624142439,-0.04281858316810759,temps,0.02346021212820418
SPX,short,1970-08-27,1970-08-28,1970-09-28,20,81.08,86.12692459173061,83.91,-0.5934287199193103,-0.03697567819422762,temps,0.020748744415929197
SPX,long,1971-05-18,1971-05-19,1971-06-17,20,100.83,95.83471707240062,100.5,-0.10636634755247554,-0.005264298331837585,temps,0.016513877905383258
SPX,long,1971-08-02,1971-08-03,1971-08-31,20,95.96,91.08170352652952,99.03,0.5893471246848402,0.029930573803020843,temps,0.016945590084307578
SPX,short,1971-12-06,1971-12-07,1971-12-29,15,96.51,101.98868591366347,102.21,-1.0766669403860083,-0.06118147989456629,gap_stop,0.01892268819695183
SPX,long,1973-02-06,1973-02-07,1973-03-08,20,114.45,108.43572291705192,114.23,-0.07460248236186379,-0.003916398149687761,temps,0.01751646157841292
SPX,short,1973-07-27,1973-07-30,1973-08-27,20,109.59,116.19000667395974,102.42,1.0542398430372335,0.06355465786070777,temps,0.02007484464507021
SPX,short,1973-09-28,1973-10-01,1973-10-29,20,108.43,114.63461855406567,111.15,-0.4737728797322727,-0.02713753133378678,temps,0.019074114033833398
SPX,short,1974-03-14,1974-03-15,1974-04-15,20,99.65,106.16472370457267,92.05,1.1371625775626015,0.07441761882303803,temps,0.02179201774401293
SPX,short,1974-10-15,1974-10-16,1974-11-13,20,71.44,79.43152818895815,73.35,-0.25712103510303236,-0.02879124925597466,temps,0.03728783216199214
