config,MC_prob_perte,MC_capital_median_x,MC_capital_p5_x,MC_capital_p95_x,MC_dd_median_%,MC_dd_p95_%,MC_dd_pire_%,PERM_dd_median_%,PERM_dd_p95_%,prob_serie_perdante_sup_15
A_actuelle,0.0,4.57,2.62,8.27,-11.3,-17.6,-30.7,-11.3,-16.7,0.057
B_equilibre,0.0,10.2,3.5,36.0,-15.5,-24.8,-41.4,-15.4,-23.1,0.103
C_laisse_courir,0.0,100.19,14.25,891.45,-23.6,-36.5,-63.5,-23.7,-34.6,0.812
D_agressive,0.0,819.15,69.58,14544.6,-24.0,-36.3,-56.7,-23.7,-34.2,0.877
