symbol,side,date_signal,date_entree,date_sortie,bars,entree,stop_initial,sortie,R,ret_pct,motif,termine,atr_pct_entree
BTC,long,2019-04-02,2019-04-03,2019-04-04,1,4857.19,4588.040911370441,4932.59,0.20739598370637044,0.011469393199790052,gap_stop,True,0.027706254915862698
BTC,long,2019-04-05,2019-04-06,2019-04-11,5,5004.96,4669.374268323929,5041.958282316886,0.05037295735972657,0.0033707970380511027,stop,True,0.03352531605408149
BTC,long,2019-04-12,2019-04-13,2019-04-25,12,5047.0,4634.160457712008,5240.346654311202,0.4184966392634356,0.034164277152566216,stop,True,0.040899498938774696
BTC,long,2019-05-03,2019-05-04,2019-05-12,8,5770.62,5386.463620092434,6808.227076166955,2.6355136474844794,0.17509878054085912,stop,True,0.03328553776782789
BTC,long,2019-05-13,2019-05-14,2019-05-17,3,7795.62,7055.56788710314,7569.31732373863,-0.34731682597691493,-0.03290559466534758,stop,True,0.04746589193013897
BTC,long,2019-05-19,2019-05-20,2019-06-03,14,8147.94,7173.153721594586,8152.163680340521,-0.02911051134878359,-0.0034757113142300958,stop,True,0.05981795879727962
BTC,long,2019-06-15,2019-06-16,2019-06-27,11,8810.77,7948.54897986158,12631.114144318703,4.381081286354668,0.42787639842603364,stop,True,0.0489299471066899
BTC,long,2019-06-28,2019-06-29,2019-07-01,2,12407.06,10647.021685662554,10669.144422400945,-1.0136529255702353,-0.14350756524904848,stop,True,0.07092890315423016
BTC,long,2019-07-09,2019-07-10,2019-07-11,1,12548.51,10747.86677609032,11249.614149226725,-0.7477839480872462,-0.1070887691121531,stop,True,0.07174729206534003
BTC,long,2019-08-05,2019-08-06,2019-08-13,7,11830.0,10478.455917100493,11051.770920816092,-0.6096675879471163,-0.06951377220415803,stop,True,0.05712358761198257
BTC,long,2019-10-26,2019-10-27,2019-11-08,12,9230.0,8169.083137391106,9043.722807720045,-0.21003025378204182,-0.024093161228506542,stop,True,0.057471119317924944
BTC,long,2020-01-28,2020-01-29,2020-02-15,17,9375.34,8675.178148860132,9810.710094528822,0.5670088904350463,0.04226039622812804,stop,True,0.03734061117462774
BTC,long,2020-04-29,2020-04-30,2020-05-04,4,8778.58,7944.2653378824725,8565.728501212752,-0.29669874812148966,-0.028141911760465772,stop,True,0.047519909946570356
BTC,long,2020-05-05,2020-05-06,2020-05-10,4,9021.36,8137.244168062834,9124.713877135637,0.07585174584469023,0.007418823063717288,stop,True,0.04900124991892386
BTC,long,2020-05-14,2020-05-15,2020-05-21,6,9791.97,8642.812017394765,8851.225210613138,-0.8510850506305592,-0.0996815780445159,stop,True,0.05867858983459077
BTC,long,2020-06-01,2020-06-02,2020-06-11,9,10202.71,9201.016521476922,9371.367047070165,-0.8690194412640553,-0.08514929855149503,stop,True,0.04908957906884923
BTC,long,2020-07-25,2020-07-26,2020-07-28,2,9700.42,9285.696133077807,10765.020543317089,2.4683162554097833,0.1053177500986174,stop,True,0.02137659332906169
BTC,long,2020-07-29,2020-07-30,2020-08-02,3,11100.52,10391.776080717285,11096.00714625943,-0.06900363686024304,-0.004396937391238383,stop,True,0.031923906235145495
BTC,long,2020-08-03,2020-08-04,2020-08-11,7,11219.68,10270.451672029814,11132.18377195735,-0.13927097589813642,-0.011759344599821442,stop,True,0.04230193410017867
